sample,long,lat
PBNY08,-72.500458,40.844806
PBNY11,-72.500458,40.844806
PEI01 ,-63.135189,46.186304
PEI02 ,-63.135189,46.186304
PEI06 ,-63.135189,46.186304
PEI08 ,-63.135189,46.186304
PEI09 ,-63.135189,46.186304
PEI10 ,-63.135189,46.186304
PEI12 ,-63.135189,46.186304
PKNC01,-76.757332,34.722261
PTMA01,-70.196267,42.036025
PTMA02,-70.196267,42.036025
PTMA03,-70.196267,42.036025
PTMA04,-70.196267,42.036025
PTMA05,-70.196267,42.036025
PTMA08,-70.196267,42.036025
RPME01,-69.0669113,44.1793348
RPME02,-69.0669113,44.1793348
RPME03,-69.0669113,44.1793348
RPME04,-69.0669113,44.1793348
RPME05,-69.0669113,44.1793348
RPME06,-69.0669113,44.1793348
RPME07,-69.0669113,44.1793348
RPME08,-69.0669113,44.1793348
SCH02 ,4.258788,52.102606
SCH04 ,4.258788,52.102606
SCH05 ,4.258788,52.102606
SCH06 ,4.258788,52.102606
SCH07 ,4.258788,52.102606
SCH08 ,4.258788,52.102606
SCH10 ,4.258788,52.102606
SCH11 ,4.258788,52.102606
SCNL01,-53.105417,48.043552
SCNL02,-53.105417,48.043552
WHMA01,-70.679384,41.52746
WHMA03,-70.679384,41.52746
WHMA04,-70.679384,41.52746
WHMA05,-70.679384,41.52746
WHMA10,-70.679384,41.52746
WHMA11,-70.679384,41.52746
WHMA12,-70.679384,41.52746
WHMA13,-70.679384,41.52746
WHMA14,-70.679384,41.52746
